name,eco,fen,moves
Modern Defense: Mongredien Defense,B06,rnbqk1nr/p1ppppbp/1p4p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 g6   d4 Bg7   Nf3 b6
Modern Defense: Neo-Modern Defense,A41,rnbqk1nr/pppp1pbp/6p1/4p3/2PPP3/8/PP3PPP/RNBQKBNR w KQkq,  c4 g6   e4 Bg7   d4 e5
Modern Defense: Norwegian Defense,B06,rnbqkb1r/pppppp1p/5np1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 g6   d4 Nf6
Modern Defense: Standard Defense,B06,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 g6   d4 Bg7   Nc3 d6
Modern Defense: Standard Line,B06,rnbqk1nr/ppppppbp/6p1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq,  e4 g6   d4 Bg7   Nc3
Modern Defense: Three Pawns Attack,B06,rnbqk1nr/ppppppbp/6p1/8/3PPP2/8/PPP3PP/RNBQKBNR b KQkq,  e4 g6   d4 Bg7   f4
Modern Defense: Westermann Gambit,B06,rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPPB1PPP/RN1QKBNR b KQkq,  e4 g6   d4 Bg7   Bd2
Modern Defense: Wind Gambit,B06,rnbqk1nr/ppppppbp/6p1/8/3PP3/3B4/PPP2PPP/RNBQK1NR b KQkq,  e4 g6   d4 Bg7   Bd3
Montevideo Defense,A40,rnbqkbnr/pppppppp/8/3P4/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 Nc6   d5 Nb8
Neo-Gruenfeld Defense,D70,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq,  d4 Nf6   c4 g6   g3 d5
Neo-Gruenfeld Defense: Goglidze Attack,D70,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5P2/PP2P1PP/RNBQKBNR w KQkq,  d4 Nf6   c4 g6   f3 d5
Neo-Gruenfeld Defense: Non- or Delayed Fianchetto,D70,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 g6   c4 d5
Nimzo-Indian Defense,E20,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 Nf6   c4 e6   Nc3
Nimzo-Larsen Attack,A01,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq,  b3
Nimzo-Larsen Attack: Classical Variation,A01,rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq,  b3 d5
Nimzo-Larsen Attack: Dutch Variation,A01,rnbqkbnr/ppppp1pp/8/5p2/8/1P6/P1PPPPPP/RNBQKBNR w KQkq,  b3 f5
Nimzo-Larsen Attack: English Variation,A01,rnbqkbnr/pp1ppppp/8/2p5/8/1P6/P1PPPPPP/RNBQKBNR w KQkq,  b3 c5
Nimzo-Larsen Attack: Graz Attack,A00,rnbqkbnr/ppp1pppp/8/3p4/8/BP6/P1PPPPPP/RN1QKBNR b KQkq,  b3 d5   Ba3
Nimzo-Larsen Attack: Indian Variation,A01,rnbqkb1r/pppppppp/5n2/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq,  b3 Nf6
Nimzo-Larsen Attack: Modern Variation,A01,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq,  b3 e5
Nimzo-Larsen Attack: Norfolk Gambit,A01,rnbqkbnr/pp2pppp/8/2pp4/4P3/1P3N2/P1PP1PPP/RNBQKB1R b KQkq,  Nf3 d5   b3 c5   e4
Nimzo-Larsen Attack: Pachman Gambit,A01,r1bqkbnr/pppp1ppp/2n5/4p3/5P2/1P6/PBPPP1PP/RN1QKBNR b KQkq,  b3 e5   Bb2 Nc6   f4
Nimzo-Larsen Attack: Ringelbach Gambit,A01,rnbqkbnr/pppp2pp/4p3/5p2/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq,  b3 f5   Bb2 e6   e4
Nimzo-Larsen Attack: Spike Variation,A01,rnbqkb1r/pppppp1p/5np1/8/6P1/1P6/PBPPPP1P/RN1QKBNR b KQkq,  b3 Nf6   Bb2 g6   g4
Nimzo-Larsen Attack: Symmetrical Variation,A01,rnbqkbnr/p1pppppp/1p6/8/8/1P6/P1PPPPPP/RNBQKBNR w KQkq,  b3 b6
Nimzowitsch Defense,B00,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 Nc6
"Nimzowitsch Defense, Declined Variation",B00,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq,  e4 Nc6   Nf3
Nimzowitsch Defense: Franco-Nimzowitsch Variation,B00,r1bqkbnr/pppp1ppp/2n1p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 Nc6   Nf3 e6
Nimzowitsch Defense: French Connection,B00,r1bqkbnr/pppp1ppp/2n1p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq,  e4 Nc6   Nc3 e6
Nimzowitsch Defense: Hornung Gambit,B00,r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq,  e4 Nc6   d4 d5   Be3
Nimzowitsch Defense: Kennedy Variation,B00,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nc6   d4 e5
"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq,  e4 Nc6   d4 e5   d5
Nimzowitsch Defense: Lean Variation,B00,r1bqkbnr/ppppp1pp/2n5/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 Nc6   Nf3 f5
"Nimzowitsch Defense: Lean Variation, Colorado Counter Accepted",B00,r1bqkbnr/ppppp1pp/2n5/5P2/8/5N2/PPPP1PPP/RNBQKB1R b KQkq,  e4 Nc6   Nf3 f5   exf5
Nimzowitsch Defense: Mikenas Variation,B00,r1bqkbnr/ppp1pppp/2np4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nc6   d4 d6
Nimzowitsch Defense: Neo-Mongoloid Defense,B00,r1bqkbnr/ppppp1pp/2n2p2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nc6   d4 f6
Nimzowitsch Defense: Pirc Connection,B00,r1bqkbnr/pppppp1p/2n3p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR w KQkq,  e4 Nc6   Nc3 g6
Nimzowitsch Defense: Pseudo-Spanish Variation,B00,r1bqkbnr/pppppppp/2n5/1B6/4P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 Nc6   Bb5
Nimzowitsch Defense: Scandinavian Variation,B00,r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nc6   d4 d5
"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",B00,r1bqkbnr/ppp1pppp/2n5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 Nc6   d4 d5   e5
"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation",B00,r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq,  e4 Nc6   d4 d5   Nc3
"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Brandics Gambit",B00,r1bqkbnr/1pp1pppp/p1n5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 Nc6   d4 d5   Nc3 a6
"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Erben Gambit",B00,r1bqkbnr/ppp1pp1p/2n3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 Nc6   d4 d5   Nc3 g6
"Nimzowitsch Defense: Scandinavian Variation, Bogoljubov Variation, Heinola-Deppe Gambit",B00,r1bqkbnr/ppp2ppp/2n5/3pp3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 Nc6   d4 d5   Nc3 e5
Nimzowitsch Defense: Wheeler Gambit,B00,r1bqkbnr/pppppppp/2n5/8/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq,  e4 Nc6   b4
Nimzowitsch Defense: Williams Variation,B00,r1bqkbnr/ppp1pppp/2np4/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 Nc6   Nf3 d6
Nimzowitsch Defense: Woodchuck Variation,B00,r1bqkbnr/1ppppppp/p1n5/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 Nc6   d4 a6
Nimzowitsch-Larsen Attack: Polish Variation,A01,rnbqkbnr/p1pppppp/8/1p6/8/1P6/P1PPPPPP/RNBQKBNR w KQkq,  b3 b5
Old Benoni Defense,A43,rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5
Old Benoni Defense: Mujannah Formation,A43,rnbqkbnr/pp1pp1pp/8/2pP1p2/8/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 c5   d5 f5
Old Indian Defense,A41,rnbqkbnr/ppp1pppp/3p4/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq,  d4 d6   c4
Old Indian Defense: Ukrainian Variation,A54,rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 Nf6   c4 d6   Nc3 e5
Old Indian: Aged Gibbon Gambit,A53,rnbqkb1r/ppp1pppp/3p1n2/8/2PP2P1/8/PP2PP1P/RNBQKBNR b KQkq,  d4 Nf6   c4 d6   g4
"Old Indian: Czech Variation, with Nc3",A53,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 Nf6   c4 d6   Nc3 c6
"Old Indian: Czech Variation, with Nf3",A53,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 c6   c4 d6
Owen Defense,B00,rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 b6
Owen Defense: Naselwaus Gambit,B00,rn1qkbnr/pbpppppp/1p6/6B1/3PP3/8/PPP2PPP/RN1QKBNR b KQkq,  e4 b6   d4 Bb7   Bg5
Owen Defense: Smith Gambit,B00,rn1qkbnr/pbpppppp/1p6/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 b6   d4 Bb7   Nf3
Owen Defense: Unicorn Variation,B00,rn1qkbnr/pbppp1pp/1p3p2/8/2PPP3/8/PP3PPP/RNBQKBNR w KQkq,  e4 f6   d4 b6   c4 Bb7
Owen Defense: Wind Gambit,B00,rn1qkbnr/pbpp1ppp/1p6/4p3/3PP3/5P2/PPP3PP/RNBQKBNR w KQkq,  e4 b6   d4 Bb7   f3 e5
Paleface Attack,A45,rnbqkb1r/pppppppp/5n2/8/3P4/5P2/PPP1P1PP/RNBQKBNR b KQkq,  d4 Nf6   f3
Petrov's Defense,C42,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 Nf6
Philidor Defense,C41,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d6
Philidor Defense: Hanham Variation,C41,r1bqkbnr/pppn1ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d6   d4 Nd7
Philidor Defense: Lopez Countergambit,C41,rnbqkbnr/ppp3pp/3p4/4pp2/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq,  e4 e5   Nf3 d6   Bc4 f5
Philidor Defense: Nimzowitsch Variation,C41,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d6   d4 Nf6
Philidor Defense: Philidor Countergambit,C41,rnbqkbnr/ppp3pp/3p4/4pp2/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d6   d4 f5
Philidor Defense: Philidor Gambit,C41,rn1qkbnr/pppb1ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d6   d4 Bd7
Pirc Defense,B07,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 d6
Pirc Defense: Roscher Gambit,B07,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 d6   d4 Nf6   Nf3
Polish Defense,A40,rnbqkbnr/p1pppppp/8/1p6/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 b5
Polish Defense: Spassky Gambit Accepted,A40,rn1qkbnr/pbpppppp/8/1B6/3PP3/8/PPP2PPP/RNBQK1NR b KQkq,  d4 b5   e4 Bb7   Bxb5
Polish Opening,A00,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq,  b4
Polish Opening: Baltic Defense,A00,rn1qkbnr/ppp1pppp/8/3p1b2/1P6/8/PBPPPPPP/RN1QKBNR w KQkq,  b4 d5   Bb2 Bf5
Polish Opening: Birmingham Gambit,A00,rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq,  b4 c5
Polish Opening: Bugayev Advance Variation,A00,rnbqkbnr/pppp2pp/5p2/1P2p3/8/8/PBPPPPPP/RN1QKBNR b KQkq,  b4 e5   Bb2 f6   b5
Polish Opening: Bugayev Attack,A00,rnbqkbnr/pppp1ppp/8/4p3/1P6/P7/2PPPPPP/RNBQKBNR b KQkq,  b4 e5   a3
Polish Opening: Czech Defense,A00,rnbqkbnr/ppp2ppp/3p4/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq,  b4 e5   Bb2 d6
Polish Opening: Dutch Defense,A00,rnbqkbnr/ppppp1pp/8/5p2/1P6/8/P1PPPPPP/RNBQKBNR w KQkq,  b4 f5
Polish Opening: German Defense,A00,rnb1kbnr/ppp1pppp/3q4/3p4/1P6/8/PBPPPPPP/RN1QKBNR w KQkq,  b4 d5   Bb2 Qd6
Polish Opening: Grigorian Variation,A00,r1bqkbnr/pppppppp/2n5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq,  b4 Nc6
Polish Opening: Karniewski Variation,A00,rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq,  b4 Nh6
Polish Opening: King's Indian Variation,A00,rnbqkb1r/pppppp1p/5np1/8/1P6/8/PBPPPPPP/RN1QKBNR w KQkq,  b4 Nf6   Bb2 g6
"Polish Opening: King's Indian Variation, Schiffler Attack",A00,rnbqkb1r/pppppp1p/5np1/8/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq,  b4 Nf6   Bb2 g6   e4
Polish Opening: Myers Variation,A00,rnbqkbnr/pp2pppp/2p5/3p4/PP6/8/1BPPPPPP/RN1QKBNR b KQkq,  b4 d5   Bb2 c6   a4
Polish Opening: Outflank Variation,A00,rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq,  b4 c6
Polish Opening: Queen's Indian Variation,A00,rnbqkb1r/p1pp1ppp/1p2pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq,  b4 e6   Bb2 Nf6   b5 b6
Polish Opening: Queenside Defense,A00,rnbqkb1r/1ppp1ppp/p3pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq,  b4 e6   Bb2 Nf6   b5 a6
Polish Opening: Symmetrical Variation,A00,rnbqkbnr/p1pppppp/8/1p6/1P6/8/P1PPPPPP/RNBQKBNR w KQkq,  b4 b5
Polish Opening: Tartakower Gambit,A00,rnbqkbnr/pppp2pp/5p2/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq,  b4 e5   Bb2 f6   e4
Polish Opening: Wolferts Gambit,A00,rnbqkbnr/pp1p1ppp/8/2p1p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq,  b4 e5   Bb2 c5
Polish Opening: Zukertort System,A04,rnbqkb1r/pppppppp/5n2/8/1P6/5N2/P1PPPPPP/RNBQKB1R b KQkq,  Nf3 Nf6   b4
Ponziani Opening,C44,r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2P2N2/PP1P1PPP/RNBQKB1R b KQkq,  e4 e5   Nf3 Nc6   c3
Ponziani Opening: Ponziani Countergambit,C44,r1bqkbnr/pppp2pp/2n5/4pp2/4P3/2P2N2/PP1P1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 Nc6   c3 f5
Portuguese Opening,C20,rnbqkbnr/pppp1ppp/8/1B2p3/4P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 e5   Bb5
Portuguese Opening: Miguel Gambit,C20,rnbqk1nr/pppp1ppp/8/1Bb1p3/1P2P3/8/P1PP1PPP/RNBQK1NR b KQkq,  e4 e5   Bb5 Bc5   b4
Portuguese Opening: Portuguese Gambit,C20,rnbqkb1r/pppp1ppp/5n2/1B2p3/3PP3/8/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   Bb5 Nf6   d4
Queen's Gambit,D06,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq,  d4 d5   c4
Queen's Gambit Accepted,D20,rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 dxc4
Queen's Gambit Accepted: Accelerated Mannheim Variation,D20,rnbqkbnr/ppp1pppp/8/8/Q1pP4/8/PP2PPPP/RNB1KBNR b KQkq,  d4 d5   c4 dxc4   Qa4+
"Queen's Gambit Accepted: Central Variation, Greco Variation",D20,rnbqkbnr/p1p1pppp/8/1p6/2pPP3/8/PP3PPP/RNBQKBNR w KQkq,  d4 d5   c4 dxc4   e4 b5
"Queen's Gambit Accepted: Central Variation, McDonnell Defense",D20,rnbqkbnr/ppp2ppp/8/4p3/2pPP3/8/PP3PPP/RNBQKBNR w KQkq,  d4 d5   c4 dxc4   e4 e5
"Queen's Gambit Accepted: Central Variation, Rubinstein Defense",D20,rnbqkbnr/pp2pppp/8/2p5/2pPP3/8/PP3PPP/RNBQKBNR w KQkq,  d4 d5   c4 dxc4   e4 c5
Queen's Gambit Accepted: Normal Variation,D21,rnbqkbnr/ppp1pppp/8/8/2pP4/5N2/PP2PPPP/RNBQKB1R b KQkq,  d4 d5   c4 dxc4   Nf3
Queen's Gambit Accepted: Old Variation,D20,rnbqkbnr/ppp1pppp/8/8/2pP4/4P3/PP3PPP/RNBQKBNR b KQkq,  d4 d5   c4 dxc4   e3
Queen's Gambit Accepted: Saduleto Variation,D20,rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b KQkq,  d4 d5   c4 dxc4   e4
Queen's Gambit Accepted: Schwartz Defense,D20,rnbqkbnr/ppp1p1pp/8/5p2/2pPP3/8/PP3PPP/RNBQKBNR w KQkq,  d4 d5   c4 dxc4   e4 f5
Queen's Gambit Declined,D30,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 e6
Queen's Gambit Declined: Alapin Variation,D31,rnbqkbnr/p1p2ppp/1p2p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 e6   c4 b6   Nc3 d5
Queen's Gambit Declined: Charousek (Petrosian) Variation,D31,rnbqk1nr/ppp1bppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 d5   c4 e6   Nc3 Be7
Queen's Gambit Declined: Janowski Variation,D31,rnbqkbnr/1pp2ppp/p3p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 d5   c4 e6   Nc3 a6
Queen's Gambit Declined: Normal Defense,D35,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 d5   c4 e6   Nc3 Nf6
Queen's Gambit Declined: Queen's Knight Variation,D31,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 d5   c4 e6   Nc3
"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch",D30,rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 d5   c4 e6   Nf3 c5
Queen's Gambit Refused: Albin Countergambit,D08,rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 e5
"Queen's Gambit Refused: Austrian Attack, Salvio Countergambit",D06,rnbqkbnr/pp2pppp/8/2P5/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 c5   dxc5 d4
Queen's Gambit Refused: Austrian Defense,D06,rnbqkbnr/pp2pppp/8/2pp4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 c5
Queen's Gambit Refused: Baltic Defense,D02,rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 Bf5
"Queen's Gambit Refused: Baltic Defense, Queen Attack",D02,rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/1Q6/PP2PPPP/RNB1KBNR b KQkq,  d4 d5   c4 Bf5   Qb3
Queen's Gambit Refused: Chigorin Defense,D07,r1bqkbnr/ppp1pppp/2n5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 Nc6
"Queen's Gambit Refused: Chigorin Defense, Lazard Gambit",D06,r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq,  d4 d5   c4 Nc6   Nf3 e5
"Queen's Gambit Refused: Chigorin Defense, Tartakower Gambit",D06,r1bqkbnr/ppp2ppp/2n5/3pp3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 d5   c4 Nc6   Nc3 e5
Queen's Gambit Refused: Marshall Defense,D06,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 Nf6
Queen's Gambit Refused: Zilbermints Gambit,D06,rnbqkbnr/p1p1pppp/8/1p1p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 d5   c4 b5
Queen's Indian Accelerated,A50,rnbqkb1r/p1pppppp/1p3n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 b6
Queen's Indian Defense,A47,rnbqkb1r/p1pppppp/1p3n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 b6
Queen's Pawn,A40,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq,  d4
Queen's Pawn Game,D00,rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 d5
Queen's Pawn Game: Anglo-Slav Opening,A41,rnbqkbnr/pp2pppp/2pp4/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 c6   c4 d6
Queen's Pawn Game: Anti-Torre,D02,rn1qkbnr/ppp1pppp/8/3p4/3P2b1/5N2/PPP1PPPP/RNBQKB1R w KQkq,  Nf3 d5   d4 Bg4
Queen's Pawn Game: Chigorin Variation,D00,rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq,  d4 d5   Nc3
Queen's Pawn Game: Colle System,D04,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R b KQkq,  d4 d5   Nf3 Nf6   e3
Queen's Pawn Game: Franco-Sicilian Defense,C00,rnbqkbnr/pp1p1ppp/4p3/2p5/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 e6   d4 c5
Queen's Pawn Game: Krause Variation,D02,rnbqkbnr/pp2pppp/8/2pp4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 d5   Nf3 c5
Queen's Pawn Game: Levitsky Attack,D00,rnbqkbnr/ppp1pppp/8/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq,  d4 d5   Bg5
"Queen's Pawn Game: Levitsky Attack, Welling Variation",D00,rn1qkbnr/ppp1pppp/8/3p2B1/3P2b1/8/PPP1PPPP/RN1QKBNR w KQkq,  d4 d5   Bg5 Bg4
Queen's Pawn Game: Liedmann Gambit,A43,rnbqkbnr/pp1ppppp/8/8/2Pp4/4P3/PP3PPP/RNBQKBNR b KQkq,  d4 c5   c4 cxd4   e3
Queen's Pawn Game: London System,D02,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq,  d4 d5   Nf3 Nf6   Bf4
Queen's Pawn Game: Mason Attack,D00,rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq,  d4 d5   Bf4
Queen's Pawn Game: Morris Countergambit,D00,rnbqkbnr/pp2pppp/8/2pp4/3PPB2/8/PPP2PPP/RN1QKBNR b KQkq,  d4 d5   Bf4 c5   e4
Queen's Pawn Game: Steinitz Countergambit,D00,rnbqkbnr/pp2pppp/8/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq,  d4 d5   Bf4 c5
Queen's Pawn Game: Stonewall Attack,D00,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq,  d4 d5   e3 Nf6   Bd3
Queen's Pawn Game: Symmetrical Variation,D02,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 d5   Nf3 Nf6
"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan",D02,rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq,  d4 d5   Nf3 Nf6   g3
Queen's Pawn Game: Torre Attack,D03,rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq,  d4 d5   Nf3 Nf6   Bg5
"Queen's Pawn Game: Veresov Attack, Alburt Defense",D00,rn1qkbnr/ppp1pppp/8/3p1b2/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 d5   Nc3 Bf5
"Queen's Pawn Game: Veresov Attack, Anti-Veresov",D00,rn1qkbnr/ppp1pppp/8/3p4/3P2b1/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 d5   Nc3 Bg4
"Queen's Pawn Game: Veresov Attack, Dutch System",A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 f5   Nc3 d5
"Queen's Pawn Game: Veresov Attack, Shaviliuk Gambit",D00,rnbqkbnr/ppp2ppp/8/3pp3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq,  d4 d5   Nc3 e5
