name,eco,fen,moves
"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",B12,rnbqkbnr/pp2pppp/8/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 d5   e5 c5
Caro-Kann Defense: Breyer Variation,B10,rnbqkbnr/pp1ppppp/2p5/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,  e4 c6   d3
Caro-Kann Defense: De Bruycker Defense,A40,r1bqkbnr/pp1ppppp/n1p5/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 Na6
Caro-Kann Defense: Edinburgh Variation,B12,rnb1kbnr/pp2pppp/1qp5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 c6   d4 d5   Nd2 Qb6
Caro-Kann Defense: Euwe Attack,B10,rnbqkbnr/pp1ppppp/2p5/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq,  e4 c6   b3
"Caro-Kann Defense: Euwe Attack, Prins Gambit",B10,rnbqkbnr/pp2pppp/8/2pp4/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq,  e4 c5   b3 d5   Bb2
Caro-Kann Defense: Exchange Variation,B13,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 c6   d4 d5   exd5
Caro-Kann Defense: Goldman Variation,B12,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2Q2/PPPP1PPP/R1B1KBNR b KQkq,  e4 c6   Nc3 d5   Qf3
Caro-Kann Defense: Gurgenidze Counterattack,B15,rnbqkbnr/p3pppp/2p5/1p1p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 c6   d4 d5   Nc3 b5
Caro-Kann Defense: Gurgenidze System,B15,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 c6   d4 d5   Nc3 g6
Caro-Kann Defense: Hillbilly Attack,B00,rnbqkbnr/pp1ppppp/2p5/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 c6   Bc4
Caro-Kann Defense: Labahn Attack,B10,rnbqkbnr/pp1ppppp/2p5/8/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq,  b4 c6   e4
"Caro-Kann Defense: Labahn Attack, Double Gambit",B10,rnbqkbnr/pp2pppp/2p5/1P1p4/4P3/8/P1PP1PPP/RNBQKBNR b KQkq,  e4 c6   b4 d5   b5
"Caro-Kann Defense: Labahn Attack, Polish Variation",B10,rnbqkbnr/pp1p1ppp/2p5/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq,  e4 c6   b4 e5   Bb2
Caro-Kann Defense: Maroczy Variation,B12,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq,  e4 c6   d4 d5   f3
Caro-Kann Defense: Masi Variation,B10,rnbqkb1r/pp1ppppp/2p2n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 Nf6
Caro-Kann Defense: Massachusetts Defense,B10,rnbqkbnr/pp1pp1pp/2p5/5p2/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 f5
Caro-Kann Defense: Mieses Gambit,B12,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq,  e4 c6   d4 d5   Be3
Caro-Kann Defense: Modern Variation,B12,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq,  e4 c6   d4 d5   Nd2
Caro-Kann Defense: Spike Variation,B10,rnbqkbnr/pp1ppppp/2p5/8/4P1P1/8/PPPP1P1P/RNBQKBNR b KQkq,  e4 c6   g4
Caro-Kann Defense: Toikkanen Gambit,B10,rnbqkbnr/pp2pppp/2p5/3pP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 c6   c4 d5   e5
Caro-Kann Defense: Two Knights Attack,B10,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq,  e4 c6   Nc3 d5   Nf3
Carr Defense,B00,rnbqkbnr/ppppppp1/7p/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 h6
Carr Defense: Zilbermints Gambit,B00,rnbqkbnr/pppp1pp1/7p/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 h6   d4 e5
Catalan Opening,E00,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq,  d4 Nf6   c4 e6   g3
Catalan Opening: Hungarian Gambit,E00,rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq,  d4 Nf6   c4 e6   g3 e5
Center Game,C21,rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  e4 e5   d4
Center Game Accepted,C21,rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 e5   d4 exd4
Center Game: Halasz-McDonnell Gambit,C21,rnbqkbnr/pppp1ppp/8/8/3pPP2/8/PPP3PP/RNBQKBNR b KQkq,  e4 e5   d4 exd4   f4
Center Game: Kieseritzky Variation,C21,rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 e5   d4 exd4   Nf3
Center Game: Ross Gambit,C21,rnbqkbnr/pppp1ppp/8/8/3pP3/3B4/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   d4 exd4   Bd3
